id,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
393,Maruti New Wagon-R,2020,23040,1,CNG,DL-11,Manual,HatchBack,575000
394,Honda Brio,2015,41595,2,PETROL,MP-09,Manual,HatchBack,373000
395,Hyundai NEW SANTRO,2020,15578,2,PETROL,PB-12,Manual,HatchBack,429000
396,Maruti IGNIS,2017,88087,2,CNG,GJ-02,Automatic,HatchBack,498000
397,Renault Kwid,2019,51237,2,PETROL,TS-15,Automatic,HatchBack,449000
398,Renault Kwid,2016,89494,2,PETROL,GJ-17,Manual,HatchBack,232000
399,Maruti Wagon R 1.0,2018,30769,1,CNG,MH-02,Manual,HatchBack,410000
400,Maruti Swift,2015,64751,1,DIESEL,MH-03,Manual,HatchBack,487650
401,Renault Kiger,2021,15105,2,PETROL,KA-04,Manual,HatchBack,766000
402,Hyundai Xcent,2018,42266,2,PETROL,TN-22,Manual,Sedan,547000
403,Honda Amaze,2015,37243,1,DIESEL,WB-02,Automatic,Sedan,891000
404,Hyundai Verna,2013,76915,2,PETROL,HR-26,Manual,Sedan,409000
405,Hyundai i20 Active,2019,96408,1,DIESEL,TS-11,Manual,HatchBack,803000
406,Hyundai Elite i20,2015,72961,1,PETROL,KA-51,Manual,HatchBack,649000
407,Hyundai NEW SANTRO,2021,40964,1,PETROL,WB-08,Manual,HatchBack,485000
408,Hyundai Elite i20,2019,51237,1,PETROL,HR-26,Manual,HatchBack,735000
409,Honda Brio,2013,67656,2,PETROL,DL-1C,Manual,HatchBack,260000
410,Maruti Swift Dzire,2016,90480,1,PETROL,UP-32,Manual,Sedan,677000
411,Maruti Alto 800,2015,19819,2,PETROL,KL-29,Manual,HatchBack,302000
412,Maruti Alto 800,2016,22042,1,PETROL,KA-02,Manual,HatchBack,296000
413,Maruti Ciaz,2018,116881,1,PETROL,,Manual,Sedan,537000
414,Hyundai Xcent,2018,31133,1,PETROL,DL-8C,Manual,Sedan,568000
415,Maruti Alto,2020,35375,1,PETROL,TN-12,Manual,HatchBack,393000
416,Maruti Baleno,2019,27310,2,PETROL,RJ-45,Manual,HatchBack,707000
417,Maruti Baleno,2019,21202,1,PETROL,DL-8C,Manual,HatchBack,655000
418,Maruti Swift Dzire,2016,39991,1,PETROL,TS-07,Manual,Sedan,540000
419,Hyundai Verna,2021,71137,2,DIESEL,MH-14,Manual,Sedan,393000
420,Maruti Wagon R 1.0,2017,59340,1,CNG,MH-43,Manual,HatchBack,378000
421,Honda City,2015,100774,3,DIESEL,KA-16,Manual,Sedan,553000
422,Maruti Wagon R 1.0,2013,30418,2,PETROL,TN-06,Manual,HatchBack,327000
423,Hyundai Grand i10,2017,32367,1,PETROL,MP-04,Manual,HatchBack,467000
424,Hyundai New Elantra,2016,99120,1,DIESEL,KA-02,Automatic,Lux_sedan,939000
425,Maruti Wagon R 1.0,2013,30906,1,PETROL,MH-16,Manual,HatchBack,300000
426,Hyundai i20,2010,67473,2,PETROL,DL-3C,Manual,HatchBack,163000
